Name,ExpressionScript
Chemical 4 Circulation,CIP_44_Step != 46
Flux Test,CIP_44_Recipe == 2 && CIP_44_Step >= 52 && CIP_44_Step <= 56
Flux Test,CIP_44_Recipe != 2 && CIP_44_Step <= 52 && CIP_44_Step >= 56
Fresh Water Rinse to Drain,CIP_44_Recipe == 2 && CIP_44_Step == 2 || CIP_44_Recipe == 2 && CIP_44_Step == 14 || CIP_44_Recipe == 2 && CIP_44_Step == 26 || CIP_44_Recipe == 2 && CIP_44_Step == 38 || CIP_44_Recipe == 2 && CIP_44_Step == 50 || CIP_44_Recipe == 3 && CIP_44_Step == 2 || CIP_44_Recipe == 3 && CIP_44_Step == 14 || CIP_44_Recipe == 4 && CIP_44_Step == 12 || CIP_44_Recipe == 5 && CIP_44_Step == 2 || CIP_44_Recipe == 6 && CIP_44_Step == 10
Fresh Water Rinse to Drain,CIP_44_Recipe != 2 && CIP_44_Step != 2 || CIP_44_Recipe != 2 && CIP_44_Step != 14 || CIP_44_Recipe != 2 && CIP_44_Step != 26 || CIP_44_Recipe != 2 && CIP_44_Step != 38 || CIP_44_Recipe != 2 && CIP_44_Step != 50 || CIP_44_Recipe != 3 && CIP_44_Step != 2 || CIP_44_Recipe != 3 && CIP_44_Step != 14 || CIP_44_Recipe != 4 && CIP_44_Step != 12 || CIP_44_Recipe != 5 && CIP_44_Step != 2 || CIP_44_Recipe != 6 && CIP_44_Step != 10
Sanitize Circulation,CIP_44_Recipe == 6 && CIP_44_Step == 6
Sanitize Circulation,CIP_44_Step != 6
Sanitizer Addition,CIP_44_Recipe == 6 && CIP_44_Step >= 4 && CIP_44_Step <= 5
Sanitizer Addition,CIP_44_Step == 6
Short CIP Addition and Heat to Temp,CIP_44_Recipe == 3 && CIP_44_Step >= 7 && CIP_44_Step <= 9
Short CIP Addition and Heat to Temp,CIP_44_Step == 10
Short CIP Wash,CIP_44_Recipe == 3 && CIP_44_Step == 10
Short CIP Wash,CIP_44_Step != 10
Soak Addition,CIP_44_Recipe == 4 && CIP_44_Step >= 4 && CIP_44_Step <= 5
Soak Addition,CIP_44_Step == 6
Soak Circulation,CIP_44_Recipe == 4 && CIP_44_Step == 6
Soak Circulation,CIP_44_Step != 6
Chemical 2 Addition and Heat to Temperature,CIP_45_Recipe == 2 && CIP_45_Step >= 29 && CIP_45_Step <= 31
Chemical 2 Addition and Heat to Temperature,CIP_45_Recipe != 2 && CIP_45_Step <= 29 && CIP_45_Step >= 31
Chemical 2 Circulation,CIP_45_Recipe == 2 && CIP_45_Step == 32
Chemical 2 Circulation,CIP_45_Recipe != 2 && CIP_45_Step != 32
Chemical 3 Addition and Heat to Temperature,CIP_45_Recipe == 2 && CIP_45_Step >= 46 && CIP_45_Step <= 48
Chemical 3 Addition and Heat to Temperature,CIP_45_Recipe != 2 && CIP_45_Step <= 46 && CIP_45_Step >= 48
Chemical 3 Circulation,CIP_45_Recipe == 2 && CIP_45_Step == 49
Chemical 3 Circulation,CIP_45_Recipe != 2 && CIP_45_Step != 49
Chemical 4 Addition and Heat to Temperature,CIP_45_Recipe == 2 && CIP_45_Step >= 63 && CIP_45_Step <= 65
Chemical 4 Addition and Heat to Temperature,CIP_45_Recipe != 2 && CIP_45_Step <= 63 && CIP_45_Step >= 65
Chemical 4 Circulation,CIP_45_Recipe == 2 && CIP_45_Step == 66
Chemical 4 Circulation,CIP_45_Recipe != 2 && CIP_45_Step != 66
Rinse to Drain,CIP_45_Recipe == 2 && CIP_45_Step >= 1 && CIP_45_Step <= 11 || CIP_45_Recipe == 2 && CIP_45_Step >= 16 && CIP_45_Step <= 28 || CIP_45_Recipe == 2 && CIP_45_Step >= 33 && CIP_45_Step <= 45 || CIP_45_Recipe == 2 && CIP_45_Step >= 50 && CIP_45_Step <= 62 || CIP_45_Recipe == 2 && CIP_45_Step >= 67 || CIP_45_Recipe == 3 && CIP_45_Step >= 1 && CIP_45_Step <= 11 || CIP_45_Recipe == 3 && CIP_45_Step >= 16 || CIP_45_Recipe == 4 && CIP_45_Step >= 1 && CIP_45_Step <= 3 || CIP_45_Recipe == 4 && CIP_45_Step >= 9 || CIP_45_Recipe == 5 && CIP_45_Step >= 1 || CIP_45_Recipe == 6 && CIP_45_Step >= 1 && CIP_45_Step <= 3 || CIP_45_Recipe == 6 && CIP_45_Step >= 7
Rinse to Drain,CIP_45_Recipe != 2 && CIP_45_Step <= 1 && CIP_45_Step >= 11 || CIP_45_Recipe != 2 && CIP_45_Step <= 16 && CIP_45_Step >= 28 || CIP_45_Recipe != 2 && CIP_45_Step <= 33 && CIP_45_Step >= 45 || CIP_45_Recipe != 2 && CIP_45_Step <= 50 && CIP_45_Step >= 62 || CIP_45_Recipe != 2 && CIP_45_Step <= 67 || CIP_45_Recipe != 3 && CIP_45_Step <= 1 && CIP_45_Step >= 11 || CIP_45_Recipe != 3 && CIP_45_Step <= 16 || CIP_45_Recipe != 4 && CIP_45_Step <= 1 && CIP_45_Step >= 3 || CIP_45_Recipe != 4 && CIP_45_Step <= 9 || CIP_45_Recipe != 5 && CIP_45_Step <= 1 || CIP_45_Recipe != 6 && CIP_45_Step <= 1 && CIP_45_Step >= 3 || CIP_45_Recipe != 6 && CIP_45_Step <= 7
Sanitize Addition,CIP_45_Recipe == 6 && CIP_45_Step >= 4 && CIP_45_Step <= 5
Sanitize Addition,CIP_45_Recipe == 6 && CIP_45_Step >= 4 && CIP_45_Step <= 5
Sanitize Circulation,CIP_45_Recipe == 6 && CIP_45_Step == 6
Sanitize Circulation,CIP_45_Recipe != 6 && CIP_45_Step != 6
Soak,CIP_45_Recipe == 4 && CIP_45_Step == 8
Soak,CIP_45_Recipe != 4 && CIP_45_Step != 8
Soak Addition,CIP_45_Recipe == 4 && CIP_45_Step >= 4 && CIP_45_Step <= 7
Soak Addition,CIP_45_Recipe != 4 && CIP_45_Step <= 4 && CIP_45_Step >= 7
Chemical 1 Addition and Heat to Temperature,CIP_46_CIP == true && CIP_46_Step >= 7 && CIP_46_Step <= 9 || CIP_46_SHORT_CIP == true && CIP_46_Step >= 7 && CIP_46_Step <= 9
Chemical 1 Addition and Heat to Temperature,CIP_46_CIP == true && CIP_46_Step == 10 && CIP_46_Step_Timer_Timing == true
Chemical 1 Circulation,CIP_46_CIP == true && CIP_46_Step == 10 || CIP_46_SHORT_CIP == true && CIP_46_Step == 10
Chemical 1 Circulation,CIP_46_Step != 10
Chemical 2 Addition and Heat to Temperature,CIP_46_CIP == true && CIP_46_Step >= 19 && CIP_46_Step <= 21
Chemical 2 Addition and Heat to Temperature,CIP_46_CIP == true && CIP_46_Step == 22 && CIP_46_Step_Timer_Timing == true
Chemical 2 Circulation,CIP_46_CIP == true && CIP_46_Step == 22
Chemical 2 Circulation,CIP_46_Step != 22
Chemical 3 Addition and Heat to Temperature,CIP_46_CIP == true && CIP_46_Step >= 31 && CIP_46_Step <= 33
Chemical 3 Addition and Heat to Temperature,CIP_46_CIP == true && CIP_46_Step == 34 && CIP_46_Step_Timer_Timing == true
Chemical 3 Circulation,CIP_46_CIP == true && CIP_46_Step == 34
Chemical 3 Circulation,CIP_46_Step != 34
Flux Test,CIP_46_Recipe == 2 && CIP_46_Step >= 40 && CIP_46_Step <= 44
Flux Test,CIP_46_Recipe != 2 && CIP_46_Step <= 40 && CIP_46_Step >= 44
Rinse to Drain,CIP_46_CIP == true && CIP_46_Step == 2 || CIP_46_CIP == true && CIP_46_Step == 14 || CIP_46_CIP == true && CIP_46_Step == 26 || CIP_46_CIP == true && CIP_46_Step == 38 || CIP_46_SHORT_CIP == true && CIP_46_Step == 2 || CIP_46_SHORT_CIP == true && CIP_46_Step == 14 || CIP_46_Soak == true && CIP_46_Step == 12 || CIP_46_Rinse == true && CIP_46_Step == 2 || CIP_46_Sanitize == true && CIP_46_Step == 10 || CIP_46_CIP == true && CIP_46_Step >= 11 && CIP_46_Step <= 12 || CIP_46_CIP == true && CIP_46_Step >= 23 && CIP_46_Step <= 24 || CIP_46_CIP == true && CIP_46_Step >= 35 && CIP_46_Step <= 36 || CIP_46_CIP == true && CIP_46_Step >= 45 && CIP_46_Step <= 47
Rinse to Drain,CIP_46_CIP != true && CIP_46_Step != 2 || CIP_46_CIP != true && CIP_46_Step != 14 || CIP_46_CIP != true && CIP_46_Step != 26 || CIP_46_CIP != true && CIP_46_Step != 38 || CIP_46_SHORT_CIP != true && CIP_46_Step != 2 || CIP_46_SHORT_CIP != true && CIP_46_Step != 14 || CIP_46_Soak != true && CIP_46_Step != 12 || CIP_46_Rinse != true && CIP_46_Step != 2 || CIP_46_Sanitize != true && CIP_46_Step != 10 || CIP_46_CIP != true && CIP_46_Step <= 11 && CIP_46_Step >= 12 || CIP_46_CIP != true && CIP_46_Step <= 23 && CIP_46_Step >= 24 || CIP_46_CIP != true && CIP_46_Step <= 35 && CIP_46_Step >= 36 || CIP_46_CIP != true && CIP_46_Step <= 45 && CIP_46_Step >= 47
Sanitize Addition,CIP_46_Sanitize == true && CIP_46_Step >= 4 && CIP_46_Step <= 5
Sanitize Addition,CIP_46_Sanitize != true && CIP_46_Step <= 4 && CIP_46_Step >= 5
Sanitize Circulation,CIP_46_Sanitize == true && CIP_46_Step == 6
Sanitize Circulation,CIP_46_Sanitize != true && CIP_46_Step != 6
Soak,CIP_46_Soak == true && CIP_46_Step == 8
Soak,CIP_46_Soak != true && CIP_46_Step != 8
Soak Addition,CIP_46_Soak == true && CIP_46_Step >= 4 && CIP_46_Step <= 7
Soak Addition,CIP_46_Soak == true && CIP_46_Step >= 4 && CIP_46_Step <= 7
Acid Circulation,CIP_37_HTST_Active == 1 && CIP_37_HTST_Step == 2 || CIP_37_HTST_Step == 6
Acid Circulation,CIP_37_HTST_Active != 1 && CIP_37_HTST_Step != 2 || CIP_37_HTST_Step != 6
Caustic Circulation,CIP_37_HTST_Active == true && CIP_37_HTST_Step == 4
Caustic Circulation,CIP_37_HTST_Active != true && CIP_37_HTST_Step != 4
Fresh Water Rinse,CIP_37_HTST_Step == true || CIP_37_HTST_Step == 3 || CIP_37_HTST_Step == 5 || CIP_37_HTST_Step == 7
Fresh Water Rinse,CIP_37_HTST_Step != true || CIP_37_HTST_Step != 3 || CIP_37_HTST_Step != 5 || CIP_37_HTST_Step != 7
Sanitize,CIP_37_HTST_Active == true && CIP_37_HTST_Active == false
Sanitize,CIP_37_HTST_Active != true && CIP_37_HTST_Active != false
Chemical 1 Addition and Heat to Temperature,CIP_47_Step_Back_Loops == 2 && CIP_47_BL_Wash_Temperature_Hold == true && CIP_47_Loop_Pump_6 == false && CIP_47_Loop_Pump_7 == false && CIP_47_Loop_Pump_8 == false && CIP_47_Loop_Pump_9 == false
Chemical 1 Addition and Heat to Temperature,CIP_47_Step_Back_Loops == 2 && CIP_47_BL_Wash_Temperature_Hold == false
Chemical 1 Circulation,CIP_47_Step_Back_Loops == 2 && CIP_47_BL_Wash_Temperature_Hold == false
Chemical 1 Circulation,CIP_47_Step_Back_Loops != 2
Chemical 2 Addition and Heat to Temperature,CIP_47_Step_Back_Loops == 4 && CIP_47_BL_Wash_Temperature_Hold == true && CIP_47_Loop_Pump_6 == false && CIP_47_Loop_Pump_7 == false && CIP_47_Loop_Pump_8 == false && CIP_47_Loop_Pump_9 == false
Chemical 2 Addition and Heat to Temperature,CIP_47_Step_Back_Loops == 4 && CIP_47_BL_Wash_Temperature_Hold == false
Chemical 2 Circulation,CIP_47_Step_Back_Loops == 4 && CIP_47_BL_Wash_Temperature_Hold == false
Chemical 2 Circulation,CIP_47_Step_Back_Loops != 4
Chemical 3 Addition and Heat to Temperature,CIP_47_Step_Back_Loops == 6 && CIP_47_BL_Wash_Temperature_Hold == true && CIP_47_Loop_Pump_6 == false && CIP_47_Loop_Pump_7 == false && CIP_47_Loop_Pump_8 == false && CIP_47_Loop_Pump_9 == false
Chemical 3 Addition and Heat to Temperature,CIP_47_Step_Back_Loops == 6 && CIP_47_BL_Wash_Temperature_Hold == false
Chemical 3 Circulation,CIP_47_Step_Back_Loops == 6 && CIP_47_BL_Wash_Temperature_Hold == false
Chemical 3 Circulation,CIP_47_Step_Back_Loops != 6
Chemical 4 Addition and Heat to Temperature,CIP_47_Step_Back_Loops == 8 && CIP_47_BL_Wash_Temperature_Hold == true && CIP_47_Loop_Pump_6 == false && CIP_47_Loop_Pump_7 == false && CIP_47_Loop_Pump_8 == false && CIP_47_Loop_Pump_9 == false
Chemical 4 Addition and Heat to Temperature,CIP_47_Step_Back_Loops == 8 && CIP_47_BL_Wash_Temperature_Hold == false
Chemical 4 Circulation,CIP_47_Step_Back_Loops == 8 && CIP_47_BL_Wash_Temperature_Hold == false
Chemical 4 Circulation,CIP_47_Step_Back_Loops != 8
Fresh Water Rinse to Drain,CIP_47_Step_Back_Loops == true || CIP_47_Step_Back_Loops == 3 || CIP_47_Step_Back_Loops == 5 || CIP_47_Step_Back_Loops == 7 || CIP_47_Step_Back_Loops == 9
Fresh Water Rinse to Drain,CIP_47_Step_Back_Loops != true || CIP_47_Step_Back_Loops != 3 || CIP_47_Step_Back_Loops != 5 || CIP_47_Step_Back_Loops != 7 || CIP_47_Step_Back_Loops != 9
Chemical 1 Addition and Heat to Temperature,CIP_47_Step_Front_Loops == 2 && CIP_47_FL_Wash_Temperature_Hold == true && CIP_47_Loop_Pump_1 == false && CIP_47_Loop_Pump_2 == false && CIP_47_Loop_Pump_3 == false && CIP_47_Loop_Pump_4 == false && CIP_47_Loop_Pump_5 == false
Chemical 1 Addition and Heat to Temperature,CIP_47_Step_Front_Loops == 2 && CIP_47_FL_Wash_Temperature_Hold == false
Chemical 1 Circulation,CIP_47_Step_Front_Loops == 2 && CIP_47_FL_Wash_Temperature_Hold == false
Chemical 1 Circulation,CIP_47_Step_Front_Loops != 2
Chemical 2 Addition and Heat to Temperature,CIP_47_Step_Front_Loops == 4 && CIP_47_FL_Wash_Temperature_Hold == true && CIP_47_Loop_Pump_1 == false && CIP_47_Loop_Pump_2 == false && CIP_47_Loop_Pump_3 == false && CIP_47_Loop_Pump_4 == false && CIP_47_Loop_Pump_5 == false
Chemical 2 Addition and Heat to Temperature,CIP_47_Step_Front_Loops == 4 && CIP_47_FL_Wash_Temperature_Hold == false
Chemical 2 Circulation,CIP_47_Step_Front_Loops == 4 && CIP_47_FL_Wash_Temperature_Hold == false
Chemical 2 Circulation,CIP_47_Step_Front_Loops != 4
Chemical 3 Addition and Heat to Temperature,CIP_47_Step_Front_Loops == 6 && CIP_47_FL_Wash_Temperature_Hold == true && CIP_47_Loop_Pump_1 == false && CIP_47_Loop_Pump_2 == false && CIP_47_Loop_Pump_3 == false && CIP_47_Loop_Pump_4 == false && CIP_47_Loop_Pump_5 == false
Chemical 3 Addition and Heat to Temperature,CIP_47_Step_Front_Loops == 6 && CIP_47_FL_Wash_Temperature_Hold == false
Chemical 3 Circulation,CIP_47_Step_Front_Loops == 6 && CIP_47_FL_Wash_Temperature_Hold == false
Chemical 3 Circulation,CIP_47_Step_Front_Loops != 6
Chemical 4 Addition and Heat to Temperature,CIP_47_Step_Front_Loops == 8 && CIP_47_FL_Wash_Temperature_Hold == true && CIP_47_Loop_Pump_1 == false && CIP_47_Loop_Pump_2 == false && CIP_47_Loop_Pump_3 == false && CIP_47_Loop_Pump_4 == false && CIP_47_Loop_Pump_5 == false
Chemical 4 Addition and Heat to Temperature,CIP_47_Step_Front_Loops == 8 && CIP_47_FL_Wash_Temperature_Hold == false
Chemical 4 Circulation,CIP_47_Step_Front_Loops == 8 && CIP_47_FL_Wash_Temperature_Hold == false
Chemical 4 Circulation,CIP_47_Step_Front_Loops != 8
Fresh Water Rinse to Drain,CIP_47_Step_Front_Loops == true || CIP_47_Step_Front_Loops == 3 || CIP_47_Step_Front_Loops == 5 || CIP_47_Step_Front_Loops == 7 || CIP_47_Step_Front_Loops == 9
Fresh Water Rinse to Drain,CIP_47_Step_Front_Loops != true || CIP_47_Step_Front_Loops != 3 || CIP_47_Step_Front_Loops != 5 || CIP_47_Step_Front_Loops != 7 || CIP_47_Step_Front_Loops != 9
Chemical 1 Addition and Heat to Temperature,CIP_47_Step_Single_Loop == 2 && CIP_47_FL_Wash_Temperature_Hold == true
Chemical 1 Addition and Heat to Temperature,CIP_47_Step_Single_Loop == 2 && CIP_47_FL_Wash_Temperature_Hold == false
Chemical 1 Circulation,CIP_47_Step_Single_Loop == 2 && CIP_47_FL_Wash_Temperature_Hold == false
Chemical 1 Circulation,CIP_47_Step_Single_Loop != 2
Chemical 2 Addition and Heat to Temperature,CIP_47_Step_Single_Loop == 4 && CIP_47_FL_Wash_Temperature_Hold == true
Chemical 2 Addition and Heat to Temperature,CIP_47_Step_Single_Loop == 4 && CIP_47_FL_Wash_Temperature_Hold == false
Chemical 2 Circulation,CIP_47_Step_Single_Loop == 4 && CIP_47_FL_Wash_Temperature_Hold == false
Chemical 2 Circulation,CIP_47_Step_Single_Loop != 4
Chemical 3 Addition and Heat to Temperature,CIP_47_Step_Single_Loop == 6 && CIP_47_FL_Wash_Temperature_Hold == true
Chemical 3 Addition and Heat to Temperature,CIP_47_Step_Single_Loop == 6 && CIP_47_FL_Wash_Temperature_Hold == false
Chemical 3 Circulation,CIP_47_Step_Front_Loops == 6 && CIP_47_FL_Wash_Temperature_Hold == false
Chemical 3 Circulation,CIP_47_Step_Single_Loop != 6
Chemical 4 Addition and Heat to Temperature,CIP_47_Step_Single_Loop == 8 && CIP_47_FL_Wash_Temperature_Hold == true
Chemical 4 Addition and Heat to Temperature,CIP_47_Step_Single_Loop == 8 && CIP_47_FL_Wash_Temperature_Hold == false
Chemical 4 Circulation,CIP_47_Step_Single_Loop == 8 && CIP_47_FL_Wash_Temperature_Hold == false
Chemical 4 Circulation,CIP_47_Step_Single_Loop != 8
Fresh Water Rinse to Drain,CIP_47_Step_Single_Loop == true || CIP_47_Step_Single_Loop == 3 || CIP_47_Step_Single_Loop == 5 || CIP_47_Step_Single_Loop == 7 || CIP_47_Step_Single_Loop == 9
Fresh Water Rinse to Drain,CIP_47_Step_Single_Loop != true || CIP_47_Step_Single_Loop != 3 || CIP_47_Step_Single_Loop != 5 || CIP_47_Step_Single_Loop != 7 || CIP_47_Step_Single_Loop != 9
Fresh Water Rinse to Drain,CIP_48_Step == true || CIP_48_Step == 3 || CIP_48_Step == 5 || CIP_48_Step == 7 || CIP_48_Step == 9 || CIP_48_Step == 11
Fresh Water Rinse to Drain,CIP_48_Step != true || CIP_48_Step != 3 || CIP_48_Step != 5 || CIP_48_Step != 7 || CIP_48_Step != 9 || CIP_48_Step != 11
Recirc 1 Addition and Heat to Temperature,CIP_48_Step == 2 && CIP_48_Wash_Temperature_Hold == true && CIP_48_CIP_Pump == false
Recirc 1 Addition and Heat to Temperature,CIP_48_Step == 2 && CIP_48_Wash_Temperature_Hold == false && CIP_48_CIP_Pump == 1 || CIP_48_Step > 2
Recirc 1 Junk Wash Circulation,CIP_48_Step == 2 && CIP_48_Wash_Temperature_Hold == false && CIP_48_CIP_Pump == true
Recirc 1 Junk Wash Circulation,CIP_48_Step != 2
Recirc 2 Addition and Heat to Temperature,CIP_48_Step == 4 && CIP_48_Wash_Temperature_Hold == true && CIP_48_CIP_Pump == false
Recirc 2 Addition and Heat to Temperature,CIP_48_Step == 4 && CIP_48_Wash_Temperature_Hold == false && CIP_48_CIP_Pump == true
Recirc 2 Caustic Wash Circulation,CIP_48_Step == 4 && CIP_48_Wash_Temperature_Hold == false && CIP_48_CIP_Pump == true
Recirc 2 Caustic Wash Circulation,CIP_48_Step != 4
Recirc 3 Addition and Heat to Temperature,CIP_48_Step == 6 && CIP_48_Wash_Temperature_Hold == true && CIP_48_CIP_Pump == false
Recirc 3 Addition and Heat to Temperature,CIP_48_Step == 6 && CIP_48_Wash_Temperature_Hold == false && CIP_48_CIP_Pump == true
Recirc 3 Enzyme Wash Circulation,CIP_48_Step == 6 && CIP_48_Wash_Temperature_Hold == false && CIP_48_CIP_Pump == true
Recirc 3 Enzyme Wash Circulation,CIP_48_Step != 6
Recirc 4 Acid Wash Circulation,CIP_48_Step == 8 && CIP_48_Wash_Temperature_Hold == false && CIP_48_CIP_Pump == true
Recirc 4 Acid Wash Circulation,CIP_48_Step != 8
Recirc 4 Addition and Heat to Temperature Start,CIP_48_Step == 8 && CIP_48_Wash_Temperature_Hold == true && CIP_48_CIP_Pump == false
Recirc 4 Addition and Heat to Temperature Stop,CIP_48_Step == 8 && CIP_48_Wash_Temperature_Hold == false && CIP_48_CIP_Pump == true
Recirc 5 Addition and Heat to Temperature,CIP_48_Step == 10 && CIP_48_Wash_Temperature_Hold == true && CIP_48_CIP_Pump == false
Recirc 5 Addition and Heat to Temperature,CIP_48_Step == 10 && CIP_48_Wash_Temperature_Hold == false && CIP_48_CIP_Pump == true
Recirc 5 Alkaline Wash Circulation,CIP_48_Step == 10 && CIP_48_Wash_Temperature_Hold == false && CIP_48_CIP_Pump == true
Recirc 5 Alkaline Wash Circulation,CIP_48_Step != 10
1-4 Acid Wash 3 Addition and Heat to Temperature,CIP_49_Step_1 == 6 && CIP_49_Wash_Temperature_Hold_1 == true && CIP_49_Loop_Pump_1 == false
1-4 Acid Wash 3 Addition and Heat to Temperature,CIP_49_Step_1 == 6 && CIP_49_1_Rec3_Step_TT == true
1-4 Acid Wash 3 Circulation,CIP_49_Step_1 == 6 && CIP_49_1_Rec3_Step_TT == true && CIP_49_Loop_Pump_1 == true
1-4 Acid Wash 3 Circulation,CIP_49_Step_1 != 6
1-4 Alkaline Wash 4 Addition and Heat to Temp,CIP_49_Step_1 == 8 && CIP_49_Wash_Temperature_Hold_1 == true && CIP_49_Loop_Pump_1 == false
1-4 Alkaline Wash 4 Addition and Heat to Temp,CIP_49_Step_1 == 8 && CIP_49_1_Rec4_Step_TT == true
1-4 Alkaline Wash 4 Circulation,CIP_49_Step_1 == 8 && CIP_49_1_Rec4_Step_TT == true && CIP_49_Loop_Pump_1 == true
1-4 Alkaline Wash 4 Circulation,CIP_49_Step_1 != 8
1-4 Chemical 5 Addition and Heat to Temperature,CIP_49_Step_1 == 10 && CIP_49_Wash_Temperature_Hold_1 == true && CIP_49_Loop_Pump_1 == false
1-4 Chemical 5 Addition and Heat to Temperature,CIP_49_Step_1 == 10 && CIP_49_1_Rec5_Step_TT == true
1-4 Chemical 5 Circulation,CIP_49_Step_1 == 10 && CIP_49_1_Rec5_Step_TT == true && CIP_49_Loop_Pump_1 == true
1-4 Chemical 5 Circulation,CIP_49_Step_1 != 10
1-4 Enzyme Wash 2 Addition and Heat to Temp,CIP_49_Step_1 == 4 && CIP_49_Wash_Temperature_Hold_1 == true && CIP_49_Loop_Pump_1 == false
1-4 Enzyme Wash 2 Addition and Heat to Temp,CIP_49_Step_1 == 4 && CIP_49_1_Rec2_Step_TT == true
1-4 Enzyme Wash 2 Circulation,CIP_49_Step_1 == 4 && CIP_49_1_Rec2_Step_TT == true && CIP_49_Loop_Pump_1 == true
1-4 Enzyme Wash 2 Circulation,CIP_49_Step_1 != 4
1-4 Fresh Water Rinse to Drain,CIP_49_Step_1 == true || CIP_49_Step_1 == 3 || CIP_49_Step_1 == 5 || CIP_49_Step_1 == 7 || CIP_49_Step_1 == 9 || CIP_49_Step_1 == 11
1-4 Fresh Water Rinse to Drain,CIP_49_Step_1 != true || CIP_49_Step_1 != 3 || CIP_49_Step_1 != 5 || CIP_49_Step_1 != 7 || CIP_49_Step_1 != 9 || CIP_49_Step_1 != 11
1-4 Junk Wash 1 Addition and Heat to Temperature,CIP_49_Step_1 == 2 && CIP_49_Wash_Temperature_Hold_1 == true && CIP_49_Loop_Pump_1 == false
1-4 Junk Wash 1 Addition and Heat to Temperature,CIP_49_Step_1 != 2 && CIP_49_1_Rec1_Step_TT != true
1-4 Junk Wash 1 Circulation,CIP_49_Step_1 == 2 && CIP_49_1_Rec1_Step_TT == true && CIP_49_Loop_Pump_1 == true
1-4 Junk Wash 1 Circulation,CIP_49_Step_1 != 2
5-8 Acid Wash 3 Addition and Heat to Temperature,CIP_49_Step_2 == 6 && CIP_49_Wash_Temperature_Hold_2 == true && CIP_49_Loop_Pump_5 == false
5-8 Acid Wash 3 Addition and Heat to Temperature,CIP_49_Step_2 == 6 && CIP_49_2_Rec3_Step_TT == true
5-8 Acid Wash 3 Circulation,CIP_49_Step_2 == 6 && CIP_49_2_Rec3_Step_TT == true && CIP_49_Loop_Pump_5 == true
5-8 Acid Wash 3 Circulation,CIP_49_Step_2 != 6
5-8 Alkaline Wash 2 Addition and Heat to Temp,CIP_49_Step_2 == 4 && CIP_49_Wash_Temperature_Hold_2 == true && CIP_49_Loop_Pump_5 == false
5-8 Alkaline Wash 2 Addition and Heat to Temp,CIP_49_Step_2 == 4 && CIP_49_2_Rec2_Step_TT == true
5-8 Alkaline Wash 2 Circulation,CIP_49_Step_2 == 4 && CIP_49_2_Rec2_Step_TT == true && CIP_49_Loop_Pump_5 == true
5-8 Alkaline Wash 2 Circulation,CIP_49_Step_2 != 4
5-8 Alkaline Wash 4 Addition and Heat to Temp,CIP_49_Step_2 == 8 && CIP_49_Wash_Temperature_Hold_2 == true && CIP_49_Loop_Pump_5 == false
5-8 Alkaline Wash 4 Addition and Heat to Temp,CIP_49_Step_2 == 8 && CIP_49_2_Rec4_Step_TT == true
5-8 Alkaline Wash 4 Circulation,CIP_49_Step_2 == 8 && CIP_49_2_Rec4_Step_TT == true && CIP_49_Loop_Pump_5 == true
5-8 Alkaline Wash 4 Circulation,CIP_49_Step_2 != 8
5-8 Chemical 5 Addition and Heat to Temperature,CIP_49_Step_2 == 10 && CIP_49_Wash_Temperature_Hold_2 == true && CIP_49_Loop_Pump_5 == false
5-8 Chemical 5 Addition and Heat to Temperature,CIP_49_Step_2 == 10 && CIP_49_2_Rec5_Step_TT == true
5-8 Chemical 5 Circulation,CIP_49_Step_2 == 10 && CIP_49_2_Rec5_Step_TT == true && CIP_49_Loop_Pump_5 == true
5-8 Chemical 5 Circulation,CIP_49_Step_2 != 10
5-8 Fresh Water Rinse to Drain,CIP_49_Step_2 == true || CIP_49_Step_2 == 3 || CIP_49_Step_2 == 5 || CIP_49_Step_2 == 7 || CIP_49_Step_2 == 9 || CIP_49_Step_2 == 11
5-8 Fresh Water Rinse to Drain,CIP_49_Step_2 != true || CIP_49_Step_2 != 3 || CIP_49_Step_2 != 5 || CIP_49_Step_2 != 7 || CIP_49_Step_2 != 9 || CIP_49_Step_2 != 11
5-8 Junk Wash 1 Addition and Heat to Temperature,CIP_49_Step_2 == 2 && CIP_49_Wash_Temperature_Hold_2 == true && CIP_49_Loop_Pump_5 == false
5-8 Junk Wash 1 Addition and Heat to Temperature,CIP_49_Step_2 == 2 && CIP_49_2_Rec1_Step_TT == true
5-8 Junk Wash 1 Circulation,CIP_49_Step_2 == 2 && CIP_49_2_Rec1_Step_TT == true && CIP_49_Loop_Pump_5 == true
5-8 Junk Wash 1 Circulation,CIP_49_Step_2 != 2
Fresh Water Rinse to Drain,CIP_50_Recipe == 2 && CIP_50_Step == 2 || CIP_50_Recipe == 2 && CIP_50_Step == 13 || CIP_50_Recipe == 2 && CIP_50_Step == 24 || CIP_50_Recipe == 2 && CIP_50_Step == 35 || CIP_50_Recipe == 2 && CIP_50_Step == 46 || CIP_50_Recipe == 3 && CIP_50_Step == 2 || CIP_50_Recipe == 3 && CIP_50_Step == 13 || CIP_50_Recipe == 4 && CIP_50_Step == 9 || CIP_50_Recipe == 5 && CIP_50_Step == 2 || CIP_50_Recipe == 6 && CIP_50_Step == 9
Fresh Water Rinse to Drain,CIP_50_Recipe != 2 && CIP_50_Step != 2 || 0
Sanitize Addition,CIP_50_Recipe == 6 && CIP_50_Step >= 2 && CIP_50_Step <= 3
